,,,,W8:  Experiential Ways of Knowing,,,as of 11/14/2023
Rqrmnt GRP,Rqrmnt,Line,,Majors,Crse Lst,No major courses ,Courses that Satisfy W8 Experiential
500,807,10,,"PSYC majors (PSYJ, YLDM)",1540,*,"PSYC 2850, 3450, 4100, 4210, 4520"
,,20,,Cinema & Media Arts (CMEJ),5014,,COMM 4800
,,22,,Public Relations (PRLJ) (COMO),5014,,COMM 4800
,,23,,Multimedia Journalism (MJOJ) (MJOM),5014,,COMM 4800
,,25,,Visual Comm Major (VCDJ),5057,,ARTH 4800
,,30,,"English & Writing majors (ENGJ, WRIJ, WRIM)",5015,,ENGL 4910
,,40,,Education majors (and TSCM),5016,,EDUC 4010
,,60,,"Christian & Youth Min. (CMNJ, CMNM, YMIJ)",5018,,"CMIN 3340, 4810, 4850, THFE 7810"
,,65,,Christian Spiritual Formation (SFOM),5231,,RLGN 4960
,,75,,Business and Integrative Leadership (BULJ),5019,,LEAD 4990
,,80,,Accounting (ACCJ),5020,,"ACCT 2020, 3500, 3860, 4020, 4800, BSNS 1050, 4800"
,,90,,Business Analytics (BANJ),5682,,BSNS 1050
,,110,,Finance (FINJ),5023,,"BSNS 1050, 4150, 4800"
,,120,,Global Business (GLBJ),5024,,"BSNS 1050, 3850, 4800"
,,130,,Management (MGTJ),5025,,"BSNS 1050, 2550, 4240, 4310, 4500, 4800"
,,135,,Engineering Management (ENMJ),5683,,BSNS 1050
,,140,,Marketing (MKTJ),5026,,"BSNS 1050, 2810, 3130, 3210, 4110, 4550, 4800"
,,160,,"Music Business (MBZJ, MUBJ, MBBN, MBCN)",5027,,"MUBS 4800, BSNS 4810"
,,165,,Sports Marketing (SPMJ),5080,,"BSNS 1050, 4110, 4330,  4560,4800"
,,170,,"Math  (MTHJ, MECJ, MDSJ, MFNJ, MATJ)",5028,,MATH 4000
,,190,,Exercise Science (EXSJ),5030,,"EXSC 4160, EXSC 4800"
,,200,,Sport & Rec Leadership (SRLJ),5031,,SPRL 4850
,,210,,Nursing (NURJ),5032,,"NURS 4560, 4950, 4960, 4970"
,,220,,History Major (HISJ),5033,,"HIST 2300, 3260, 4700, 4800, 4915, 4930, POSC 2810,  4800, 4810, 4820, 4860, 4915, EDUC 4010, study-abroad courses"
,,221,,History Major (HISJ),5051,,POSC 2840 Model UN (2 semesters)
,,222,,"Political Science Majors (POLJ, PPEJ)",5216,,"POSC 2810,  4800, 4810, 4820, 4860, 4915, study-abroad courses"
,,223,,"Political Science Majors (POLJ, PPEJ)",5051,,POSC 2840 Model UN (2 semesters)
,,224,,Global Studies Major (GBLJ)/ Int'l Relations major (ILRJ),5033,*,"HIST 2300, 3260, 4700, 4800, 4915, 4930, POSC 2810,  4800, 4810, 4820, 4860, 4915, EDUC 4010, study-abroad courses"
,,225,,Global Studies Major (GBLJ)/ Int'l Relations major (ILRJ),5051,,POSC 2840 Model UN (2 semesters)
,,226,,National Security (NSCJ),5081, ,"POSC  4800, 4810, 4820, 4860, 4915, 4930"
,,227,,National Security (NSCJ),5051,,POSC 2840 Model UN (2 semesters)
,,230,,Crim Just (CRIJ & CROJ),5034,,CRIM 4810
,,240,,Social Work (SWKJ),5037,,SOWK 4850
,,250,,Spanish (SPAJ),5035,,FLAN 3500
,,261,,Vocal Performance (MPVJ),5045,," MUPF 4540, 4550, 4560, 4570, 4580, 4590"
,,262,,Instrumental Performance (MPIJ),5045,," MUPF 4540, 4550, 4560, 4570, 4580, 4590"
,,263,,Musical Theatre (MUTJ),5046,,"MUTR 4500, MUPF 4540"
,,264,,Worship Arts (WORJ),5047,,MUSC 3800
,,265,,Musical Theatre (MTRJ & MUTM),5442,,"MUPF 1170, 4910"
,,266,,Music (MUSJ & MUSM),5049,,"MUSC 4950, 4955"
,,267,,Songwriting (SWRJ),5050,,MUBS 4500
,,270,,"Dance Majors (DANJ, DANM)",1094,,"DANC 4800, 4910"
,,271,,Theatre Major (THRJ),688,,THEA 4800
,,275,,"Computer Science (CSCJ, CSIJ, CSCM, BISM)",5044,*,"CPSC 2800, 3800, 4800, 4960"
,,277,,Data Science (DSAJ( (DSSJ),5684,,CPSC 4970
,,280,,Professional Development Majors (PRDJ),974,,LART 4500
,,290,,Biochemistry (BCHJ) (BCSJ) & Chemistry (CHEJ) (CHSJ),5077,,CHEM 4920
,,315,,"Electrical (EELJ), Mechanical (EMCJ),  Mechatronics (EMEJ), & Civil (ECVJ) Engineering Majors",5079,,ENGR 4960
,,325,,Computer Engineering (ECPJ),5044+5079,,"CPSC 2800, 3800, 4800, 4960, ENGR 4960"
,,330,,Public History (PBHJ),5473,,HIST 4800
,,340,,Public Health (BA & BS) PHAJ & PHEJ,5490,,"PUBH/NURS 4950, PUBH /SOCI 4810"
,,350,,Cyber Security (CYSJ),5489,,"CPSC 4480, 4820, 4970"
,,355,,Ministry Studies Online (MSTO),5610,,CMIN 4810
,,380,,Experiential Activity Milestone,,,DYN COND 155
,,390,,Experiential Course Milestone,,,DYN COND 156
,,400,,all other majors** (exceptions),5013,,LAWK 18EC
,,,,**These majors do not have a course that satisfies experiential:,,,Course numbers above in BOLD are courses that are required for the student's major.
,,,,Biology,,,"If there is an asterisk *, this means that the major does"
,,,,Sociology,discontinued,,not have any required experiential courses (i.e. the 
,,,, ,,,courses listed are NOT required for the major)
